link,latitude,longitude
https://goo.gl/maps/x8uvw8TZAxvdQr1j9,12.9288339,77.5796251
https://goo.gl/maps/JRKuwfs3QxA6rKUGA,12.9445764,77.5681696
https://goo.gl/maps/juaSDpVbdQvjvp4w9,12.9810004,77.5928512
https://goo.gl/maps/ZbhcAim19iy7b2Yz8,12.3374306,76.6120164
https://goo.gl/maps/FyGGL4ZytEQpYw5y9,12.9767734,77.5770906
https://goo.gl/maps/Kk9bs5mQuoRwDAJw6,13.2985486,77.8025169
https://goo.gl/maps/xqwjrMmLnYZCM9Ct8,13.2990772,77.8003235
https://goo.gl/maps/nbAk8UeeQcvzUvo2A,12.3490811,76.6565192
https://goo.gl/maps/rw42coziVGwmNr1P9,12.3253945,76.6206404
https://goo.gl/maps/UVjUhU6qW44ZycHAA,12.6388004,77.1404298
https://goo.gl/maps/yiV2cW3wQy3RPDdE9,12.3043612,76.6491899
https://goo.gl/maps/7ERXcvWWdjiEN8DE7,12.5436108,77.4203004
https://goo.gl/maps/ofKkRxRW9uwhv4XY8,12.9287248,77.5848909
https://goo.gl/maps/ghCnGDwNiQXjFFwT7,11.257223,75.7904593
https://goo.gl/maps/exShmuxjT6EZisK49,11.2516062,75.7768871
https://goo.gl/maps/BmbYQZKAQuyuvo3Z8,12.9260417,77.561882
https://goo.gl/maps/s93eS1YseBT6Sdoy7,12.9920885,78.1778714
https://goo.gl/maps/omGT3jUSr3BHkeUT6,12.9921406,77.677954
https://goo.gl/maps/WcaCxLjBGNmTmq3j9,12.9950771,77.6637354
https://goo.gl/maps/9DLhEGH91svQpPWc6,12.9189048,77.6686518
https://goo.gl/maps/sSEHEN17cjxtbBZg6,12.9515902,77.5439896
https://goo.gl/maps/CR8dUgVM52ETGYgA8,13.0019248,76.1034911
https://goo.gl/maps/nGsLxrfuW4QgLe5W6,12.9623589,77.7144099
https://goo.gl/maps/5JCb21ECqN1fkDag6,12.9370036,77.6179265
https://goo.gl/maps/oWc6tRDjuCtFz8Ek7,13.3316486,74.744043
https://goo.gl/maps/brxwTRo7GjvqfpkD8,12.9366053,77.6061738
https://goo.gl/maps/kqfWPyHB7dycvZbi6,12.8757313,74.8380504
https://goo.gl/maps/ufXbWexTE2wEo1Ct7,12.9952283,76.898164
https://goo.gl/maps/D75HLQzFVW6VBtgz9,12.9461048,77.5684127
https://goo.gl/maps/oVeJJeUVoR7YRA4i7,12.7208542,77.2773516
https://goo.gl/maps/cPJQWVaGVcHF2DYp7,13.1645636,78.3909528
https://goo.gl/maps/iteU7UmSF12AR7kF6,12.8704429,74.8548736
https://goo.gl/maps/cWa1KURs9zBMn9mt7,12.9308511,75.7659486
https://goo.gl/maps/R8ooXuPdR6N4czWz9,12.7889006,77.3681829
https://goo.gl/maps/ue6vNnDDgiRnnZhx5,13.1268158,78.1329632
https://goo.gl/maps/JxBsqNtjYG3xwkro7,12.8666086,77.5798268
https://goo.gl/maps/LLzVZDKGAPpt5AD37,12.7302883,77.2765365
https://goo.gl/maps/GcVv3J8dBmkfZR4V6,12.3768251,76.6070245
https://goo.gl/maps/ufeyT7ANncwiSgwJ6,12.4255447,77.223855
https://goo.gl/maps/AfA4MVarv3VVA3qp9,12.9328532,77.5803597
https://goo.gl/maps/TQphTrun1to6tRoJ6,13.0249496,77.6293752
https://goo.gl/maps/7tR4BBYWUQEFksKW7,12.9377048,77.565398
https://goo.gl/maps/BGiyFiR9qPqM1ECg9,12.9726601,77.5715653
https://goo.gl/maps/j3V3Y6HtbEiVWDGr5,12.9793819,77.6387816
https://goo.gl/maps/tin9GNPRF812idZh8,13.0476427,77.4998762
https://goo.gl/maps/x3KdAFXHnNDm1u6VA,12.9720416,77.5988202
https://goo.gl/maps/9Bn528LKAHCqPbZcA,12.912718,77.6426033
https://goo.gl/maps/Sd6x5FcdckcF2xvt7,13.0551469,77.6614678
https://goo.gl/maps/N8rjbD3qRNwwdu8x8,12.9757732,77.6014741
https://goo.gl/maps/ppE2Pvju9zW368W47,12.9622135,77.5874052
https://goo.gl/maps/Fk6wWYRuefqdQ4Si8,12.8071619,77.6959126
https://goo.gl/maps/LzMQgsjySnPaw3Cg9,12.9931293,77.5943947
https://goo.gl/maps/e4voDdkbLHrnzpaW7,12.973003,77.597659
https://goo.gl/maps/gS4RePt1HqfJF7uTA,12.9714563,77.6045931
https://goo.gl/maps/NUtz7mhFXwxiEDLB6,12.9483812,77.6644291
https://goo.gl/maps/YMY2sCYssMaNe3Fq7,12.916893,77.5834874
https://goo.gl/maps/cAKPkZMY6JF2T5Z69,12.9724302,77.6162711
https://goo.gl/maps/RznsXEZqP7vxBRAQ6,12.9670173,77.639435
https://goo.gl/maps/AQxEvtu8nWbTX91JA,12.9120825,77.6357803
https://goo.gl/maps/MQNDScmC2kRdcfji8,12.9743958,77.6057207
https://goo.gl/maps/fQoMg2VQgP34QHT76,13.0258995,77.6349903
https://goo.gl/maps/1QLut14ped2jy6gs7,12.9215806,77.6181054
https://goo.gl/maps/bWzNT69HmjpWp85y8,19.1038775,72.8494338
https://goo.gl/maps/kKHGdJW1qRiBrBiT6,12.9342717,77.6154143
https://goo.gl/maps/RXnr2PMSoCrebrJG9,12.9754392,77.5764053
https://goo.gl/maps/necAJ9CJNCVi1VHs7,26.9164738,75.8089262
https://goo.gl/maps/EkAwzWS3WuRrrJgg9,26.9267064,75.8254923
https://goo.gl/maps/uVniz9Ck4qsK7qpD8,26.9193391,75.8234511
https://goo.gl/maps/427AVWsJqu7m1VBw7,26.9114427,75.8218414
https://goo.gl/maps/zVEViX4E9qX8ETxRA,13.19864,77.7044041
https://goo.gl/maps/vYJT2scwJHELYyTk7,26.9212661,75.7945332
https://goo.gl/maps/zFD7H4Wevau2TZwp7,12.9849926,77.5857838
https://goo.gl/maps/1JCnP9oEDZtvNbtbA,11.2048423,75.86433
https://goo.gl/maps/PAi5DBWjWtuMZb1Q7,11.2543017,75.769695
https://goo.gl/maps/fbQADsEGDARxsg7y5,17.4728404,78.37061
https://goo.gl/maps/QcP3M7jhPjZii7tZ7,11.2526021,75.7791265
https://goo.gl/maps/tCrrwXrCWSXNhMb58,12.4308095,76.6983157
https://goo.gl/maps/MjLQUdfALnV7Uk3C6,12.9705193,77.6437822
https://goo.gl/maps/zgpBRi6TMHAAKJ8r8,12.7875618,78.712723
https://goo.gl/maps/Udd1GtrJmpdxzkUj8,12.975206,77.6033945
https://goo.gl/maps/kTotHgFfyWxBpd216,12.9985417,77.5502128
https://goo.gl/maps/dz9DrHtVgMo5rR3a8,12.9345501,77.609119
https://goo.gl/maps/58xxqtQcbUPBFkxD6,12.9695214,77.6414225
https://goo.gl/maps/oCqCYfsFaw8ZVFxP6,17.4351111,78.4086406
https://goo.gl/maps/nCjkfFPM6U3gQjrG9,17.4333754,78.4446315
https://goo.gl/maps/S5eeCLyxjpd2CLXG6,17.3611677,78.4722401
https://goo.gl/maps/vRNuxoSXbiT5LrHt6,17.4435313,78.374876
https://goo.gl/maps/UDA8YJdhAAupCmBs6,12.9701302,77.6436313
https://goo.gl/maps/YEA7v5D3nxKAf9i5A,12.5556176,78.1859914
https://goo.gl/maps/1vVixUSGrfZ2o4RR8,12.9755305,77.6203854
https://goo.gl/maps/4Txh8NEFvbZpCdDC9,12.9757121,77.6004488
https://goo.gl/maps/2FMuVqHjJtJyUs4M6,12.97232,77.608621
https://goo.gl/maps/YevqsyLMv6SUhko79,12.3097954,76.6556003
https://goo.gl/maps/k3BkbUi2VyKVCLQQA,12.3234319,76.6260738
https://goo.gl/maps/deBdrPPTQVbHkD4u7,12.3179658,76.6503801
https://goo.gl/maps/mfDuLkdpsn36gzPk8,12.2883065,76.6472745
https://goo.gl/maps/uomXAuRpAYo2oi447,12.9544917,77.576551
https://goo.gl/maps/9J5p8NzKefDyrtCx8,12.9362992,77.5646033
https://goo.gl/maps/hZGVAyCCMjz6KB8x8,12.9509096,77.5756712
https://goo.gl/maps/oKp1eM6cLo19cXEH9,12.951024,77.5753641
https://goo.gl/maps/YNGss242Z6StfgGq7,12.9510769,77.5753749
https://goo.gl/maps/Vj1xbT38AZmnwcmC6,12.9509008,77.5757373
https://goo.gl/maps/XFaUnXNLLqgnq2hb7,12.951567,77.5749309
https://goo.gl/maps/3BLLm11R5A1bMA9g6,12.951455,77.5752598
https://goo.gl/maps/97Zxk6QpZTfo7ueC8,12.9513401,77.5753075
https://goo.gl/maps/fDwhPUrhwcG2rT4v7,12.9515393,77.5751451
https://goo.gl/maps/iWJx7MCjucNvpCUX7,15.15889,73.9457735
https://goo.gl/maps/suj7zrhPWC7YRzXG6,17.392235,78.4628347
https://goo.gl/maps/2sMbSq8kXEiVMwwF6,17.3695351,78.4747001
https://goo.gl/maps/fY8cXenAPAmbq2aU7,16.426353,77.9371221
https://goo.gl/maps/8FbsPNfmREvaYYLw5,17.3688107,78.4755021
https://goo.gl/maps/CCsHPuxmF7rwBop77,13.0593768,77.5903028
